project_id,project_type,county,nca_contractor_grade,budget_ksh,planned_duration_days,completed_milestones_count,total_milestones_count,current_delay_days,delayed,cost_overrun_pct
PROJ-KE-0033,Industrial,Mombasa,NCA 1,45964974.29,93,2,8,0,0,1.01
PROJ-KE-0034,Residential,Kericho,NCA 3,774373695.19,204,1,4,0,0,0.0
PROJ-KE-0035,Commercial,Kiambu,NCA 1,17175492.76,1085,2,3,36,1,30.61
PROJ-KE-0036,Residential,Kericho,NCA 8,107286939.91,332,1,5,0,0,3.62
PROJ-KE-0037,Commercial,Kericho,NCA 5,146717464.25,974,12,14,25,1,36.28
PROJ-KE-0038,Industrial,Kilifi,NCA 1,61945558.13,1030,5,10,106,1,37.38
PROJ-KE-0039,Residential,Kajiado,NCA 6,58444313.04,1080,8,15,70,0,3.69
PROJ-KE-0040,Residential,Nairobi,NCA 1,226825456.09,1075,0,7,60,1,22.41
PROJ-KE-0041,Infrastructure,Kericho,NCA 4,33245102.46,680,2,6,60,1,11.06
PROJ-KE-0042,Industrial,Uasin Gishu,NCA 2,538485602.09,428,5,12,0,0,3.48
PROJ-KE-0043,Residential,Kericho,NCA 2,666003502.08,803,2,7,90,1,43.79
PROJ-KE-0044,Residential,Meru,NCA 2,55919383.12,943,2,3,60,1,21.63
PROJ-KE-0045,Residential,Uasin Gishu,NCA 3,21898063.59,902,5,15,0,0,3.37
PROJ-KE-0046,Residential,Kisumu,NCA 5,109652524.15,320,6,15,10,0,1.26
PROJ-KE-0047,Infrastructure,Kisumu,NCA 3,422549725.56,997,9,13,94,1,19.27
PROJ-KE-0048,Infrastructure,Nakuru,NCA 5,242735945.96,314,5,5,0,0,1.55
PROJ-KE-0049,Infrastructure,Bungoma,NCA 1,25631595.71,662,5,12,0,0,2.8
PROJ-KE-0050,Infrastructure,Kericho,NCA 5,38185541.4,651,2,10,0,0,1.38
PROJ-KE-0051,Commercial,Kajiado,NCA 5,20385912.57,371,1,10,0,0,1.33
PROJ-KE-0052,Industrial,Kisumu,NCA 1,318933962.46,326,2,9,0,0,1.8
PROJ-KE-0053,Residential,Kericho,NCA 1,195912741.99,878,11,12,117,1,41.96
PROJ-KE-0054,Residential,Nairobi,NCA 7,75618689.28,1003,8,9,0,1,23.02
PROJ-KE-0055,Residential,Kilifi,NCA 3,88745526.73,488,6,8,0,0,3.01
PROJ-KE-0056,Civil Works,Nairobi,NCA 6,11183802.76,696,10,12,87,1,19.7
PROJ-KE-0057,Commercial,Nyeri,NCA 1,307808668.67,424,6,8,111,1,31.62
PROJ-KE-0058,Infrastructure,Mombasa,NCA 8,318007700.44,448,5,6,88,1,21.96
PROJ-KE-0059,Infrastructure,Kiambu,NCA 1,116733456.47,574,1,13,0,0,3.48
PROJ-KE-0060,Infrastructure,Machakos,NCA 4,696051450.98,886,2,5,8,0,2.97
PROJ-KE-0061,Industrial,Murang'a,NCA 2,54895765.51,822,0,6,0,0,0.22
PROJ-KE-0062,Infrastructure,Meru,NCA 6,66170785.51,669,1,15,59,1,32.73
PROJ-KE-0063,Commercial,Nyeri,NCA 1,31930797.86,533,7,8,0,0,0.0
PROJ-KE-0064,Civil Works,Kajiado,NCA 4,233777815.68,1031,7,11,0,1,15.64
PROJ-KE-0065,Commercial,Kisumu,NCA 2,25926184.58,551,6,6,0,0,0.26
PROJ-KE-0066,Commercial,Nyeri,NCA 1,179536959.46,438,4,7,0,0,0.23
PROJ-KE-0067,Commercial,Kericho,NCA 3,99783223.99,866,5,6,0,0,0.0
PROJ-KE-0068,Commercial,Meru,NCA 1,75000529.67,685,7,8,0,0,0.0
PROJ-KE-0069,Residential,Kakamega,NCA 4,2500000000.0,367,4,7,97,1,32.38
PROJ-KE-0070,Infrastructure,Machakos,NCA 1,190770377.24,846,4,10,0,0,0.93
PROJ-KE-0071,Commercial,Nakuru,NCA 5,78192662.92,399,1,3,11,1,24.36
PROJ-KE-0072,Infrastructure,Kiambu,NCA 4,109320520.15,102,4,12,0,0,0.31
PROJ-KE-0073,Commercial,Laikipia,NCA 1,143223949.36,156,7,9,85,1,40.27
PROJ-KE-0074,Industrial,Kisumu,NCA 8,57410615.97,211,6,11,0,0,0.16
PROJ-KE-0075,Residential,Bungoma,NCA 6,67739466.32,529,0,7,0,1,29.42
PROJ-KE-0076,Industrial,Uasin Gishu,NCA 4,103452239.92,335,4,5,5,0,0.0
PROJ-KE-0077,Residential,Mombasa,NCA 1,293568740.26,813,7,7,34,1,29.03
PROJ-KE-0078,Infrastructure,Uasin Gishu,NCA 2,40948692.59,647,5,6,39,0,0.69
PROJ-KE-0079,Commercial,Meru,NCA 3,365418217.02,539,3,4,0,0,0.09
PROJ-KE-0080,Residential,Laikipia,NCA 2,7077491.13,702,3,3,0,0,0.99
PROJ-KE-0081,Commercial,Nairobi,NCA 8,69291757.37,131,5,15,0,0,0.0
PROJ-KE-0082,Commercial,Kericho,NCA 4,12286878.16,593,3,4,47,1,15.01
PROJ-KE-0083,Residential,Laikipia,NCA 2,180058819.89,1057,8,9,16,0,2.42
PROJ-KE-0084,Civil Works,Murang'a,NCA 6,111120229.16,980,7,11,29,1,25.01
PROJ-KE-0085,Residential,Laikipia,NCA 4,113895131.96,652,2,5,94,1,30.4
PROJ-KE-0086,Commercial,Kilifi,NCA 4,100515467.41,507,1,4,0,0,2.63
PROJ-KE-0087,Commercial,Kiambu,NCA 3,54055257.69,823,4,7,66,1,29.79
PROJ-KE-0088,Residential,Kiambu,NCA 6,96876555.2,372,13,15,105,1,24.83
PROJ-KE-0089,Commercial,Laikipia,NCA 6,97163354.16,547,7,11,75,1,43.28
PROJ-KE-0090,Industrial,Kilifi,NCA 3,33800763.68,329,13,15,100,1,27.58
PROJ-KE-0091,Civil Works,Kiambu,NCA 3,169535402.63,127,4,5,0,0,1.8
PROJ-KE-0092,Infrastructure,Nakuru,NCA 3,16998421.73,509,2,13,105,1,47.48
PROJ-KE-0093,Commercial,Murang'a,NCA 4,439252073.15,969,6,11,0,0,0.0
PROJ-KE-0094,Residential,Mombasa,NCA 4,18012149.87,330,10,13,0,0,1.16
PROJ-KE-0095,Residential,Nakuru,NCA 5,92453269.75,260,4,14,0,0,3.76
PROJ-KE-0096,Commercial,Kakamega,NCA 2,199208615.59,340,6,11,0,0,0.32
PROJ-KE-0097,Commercial,Murang'a,NCA 4,126108217.2,236,3,6,0,1,20.17
PROJ-KE-0098,Infrastructure,Bungoma,NCA 6,79466929.81,542,4,8,0,0,0.19
PROJ-KE-0099,Infrastructure,Uasin Gishu,NCA 8,164241698.03,963,1,10,78,1,35.88
PROJ-KE-0100,Commercial,Murang'a,NCA 2,235834633.81,669,12,13,0,0,1.82
PROJ-KE-0101,Residential,Meru,NCA 5,141676175.64,314,3,13,0,1,27.37
PROJ-KE-0102,Infrastructure,Kiambu,NCA 4,448390332.21,406,14,15,51,0,1.13
PROJ-KE-0103,Commercial,Kericho,NCA 1,64464733.0,225,11,15,0,0,0.0
PROJ-KE-0104,Commercial,Laikipia,NCA 7,54906667.93,913,3,4,0,1,9.64
PROJ-KE-0105,Civil Works,Murang'a,NCA 7,159112064.43,899,0,9,20,1,22.01
PROJ-KE-0106,Infrastructure,Kajiado,NCA 3,378621218.79,200,3,13,0,0,0.0
PROJ-KE-0107,Commercial,Kilifi,NCA 4,15228810.49,740,4,10,0,0,1.51
PROJ-KE-0108,Commercial,Laikipia,NCA 1,124786709.81,487,5,10,0,0,1.04
PROJ-KE-0109,Residential,Kiambu,NCA 6,5978079.93,760,3,4,0,1,27.78
PROJ-KE-0110,Commercial,Bungoma,NCA 7,75282679.61,965,1,8,0,0,3.59
PROJ-KE-0111,Residential,Mombasa,NCA 2,135730988.25,958,1,10,0,0,0.0
PROJ-KE-0112,Commercial,Nyeri,NCA 1,30774956.24,218,6,15,102,1,42.03
PROJ-KE-0113,Commercial,Kiambu,NCA 5,63550698.92,700,2,3,0,0,1.82
PROJ-KE-0114,Commercial,Machakos,NCA 1,165793974.2,456,7,15,0,0,2.37
PROJ-KE-0115,Commercial,Kericho,NCA 3,118840484.91,853,3,4,51,0,1.14
PROJ-KE-0116,Residential,Mombasa,NCA 4,474891774.69,398,10,10,0,0,2.79
PROJ-KE-0117,Residential,Nakuru,NCA 3,180462840.82,1021,1,10,0,0,1.96
PROJ-KE-0118,Commercial,Nyeri,NCA 2,47625657.91,607,6,12,94,1,18.18
PROJ-KE-0119,Infrastructure,Uasin Gishu,NCA 2,278823586.98,937,6,10,17,0,0.7
PROJ-KE-0120,Commercial,Kiambu,NCA 4,282631461.25,575,0,4,0,0,1.57
PROJ-KE-0121,Infrastructure,Kiambu,NCA 3,28942834.35,427,1,13,116,1,38.56
PROJ-KE-0122,Infrastructure,Mombasa,NCA 7,43921985.08,681,3,11,66,1,19.0
PROJ-KE-0123,Commercial,Kakamega,NCA 1,92858069.87,529,9,11,0,0,0.98
PROJ-KE-0124,Industrial,Kajiado,NCA 1,87203597.8,369,12,14,48,0,1.96
PROJ-KE-0125,Commercial,Murang'a,NCA 1,90257920.16,183,8,14,58,0,0.36
PROJ-KE-0126,Commercial,Nyeri,NCA 5,132444683.96,671,1,12,0,1,6.64
PROJ-KE-0127,Commercial,Bungoma,NCA 4,573552334.84,587,7,12,32,0,0.46
PROJ-KE-0128,Residential,Meru,NCA 4,31834250.03,405,1,3,81,1,14.91
PROJ-KE-0129,Commercial,Uasin Gishu,NCA 5,118230927.94,212,3,3,0,0,1.86
PROJ-KE-0130,Infrastructure,Kakamega,NCA 1,308780739.34,972,0,14,63,1,30.3
PROJ-KE-0131,Residential,Kericho,NCA 2,34779157.81,504,2,3,84,0,1.77
PROJ-KE-0132,Residential,Kericho,NCA 5,115776118.12,626,3,4,0,1,29.61
PROJ-KE-0133,Commercial,Machakos,NCA 1,40293705.74,288,11,15,109,1,37.2
PROJ-KE-0134,Commercial,Nakuru,NCA 1,183941860.42,868,2,15,103,1,36.02
PROJ-KE-0135,Residential,Bungoma,NCA 4,385706140.69,729,5,8,13,0,0.0
PROJ-KE-0136,Infrastructure,Mombasa,NCA 2,150422849.75,165,7,7,0,0,2.19
PROJ-KE-0137,Commercial,Kisumu,NCA 4,28452334.88,657,1,15,108,1,34.66
PROJ-KE-0138,Commercial,Laikipia,NCA 3,384381409.37,920,1,8,0,0,1.73
PROJ-KE-0139,Residential,Bungoma,NCA 3,241017173.9,714,2,5,41,0,2.88
PROJ-KE-0140,Infrastructure,Mombasa,NCA 5,82929200.96,186,10,11,37,1,32.58
PROJ-KE-0141,Infrastructure,Kiambu,NCA 2,60907192.16,448,6,7,95,1,45.45
PROJ-KE-0142,Commercial,Murang'a,NCA 4,80435620.79,809,10,14,0,1,8.08
PROJ-KE-0143,Infrastructure,Kakamega,NCA 1,37281533.41,439,15,15,22,1,12.31
PROJ-KE-0144,Commercial,Nakuru,NCA 3,16114056.42,629,2,3,0,0,0.0
PROJ-KE-0145,Commercial,Machakos,NCA 5,36281471.05,879,12,12,0,1,17.02
PROJ-KE-0146,Infrastructure,Bungoma,NCA 4,76069906.39,860,12,14,73,1,38.18
PROJ-KE-0147,Industrial,Uasin Gishu,NCA 2,2422304646.29,1059,7,12,0,0,2.64
PROJ-KE-0148,Residential,Machakos,NCA 5,133195062.82,346,3,3,0,0,0.54
PROJ-KE-0149,Infrastructure,Nakuru,NCA 2,89736450.27,871,2,5,70,1,43.23
PROJ-KE-0150,Commercial,Bungoma,NCA 6,302813079.27,1042,3,3,69,1,14.59
PROJ-KE-0151,Commercial,Nyeri,NCA 7,251703600.06,949,10,14,23,1,34.68
PROJ-KE-0152,Infrastructure,Kiambu,NCA 5,229349338.25,570,9,10,15,1,11.43
PROJ-KE-0153,Industrial,Kericho,NCA 1,119596416.76,385,2,6,35,0,2.49
PROJ-KE-0154,Residential,Nakuru,NCA 5,24465834.19,737,9,11,23,1,16.91
PROJ-KE-0155,Commercial,Kakamega,NCA 1,23322186.15,177,5,11,72,1,30.15
PROJ-KE-0156,Infrastructure,Nairobi,NCA 2,20270342.15,1094,4,8,0,0,0.85
PROJ-KE-0157,Commercial,Nakuru,NCA 5,153775172.36,842,10,15,50,0,0.42
PROJ-KE-0158,Commercial,Bungoma,NCA 8,50913233.69,228,3,4,30,1,9.45
PROJ-KE-0159,Commercial,Mombasa,NCA 2,69320512.63,924,7,11,101,1,36.45
PROJ-KE-0160,Commercial,Mombasa,NCA 6,79827866.35,466,6,9,0,0,2.37
PROJ-KE-0161,Civil Works,Laikipia,NCA 4,52203180.84,466,8,15,0,0,0.6
PROJ-KE-0162,Residential,Machakos,NCA 3,87564572.27,766,4,7,96,1,28.66
PROJ-KE-0163,Infrastructure,Kakamega,NCA 2,73757491.16,719,4,9,0,0,1.33
PROJ-KE-0164,Infrastructure,Murang'a,NCA 2,72672522.61,910,10,14,8,1,31.58
PROJ-KE-0165,Commercial,Kisumu,NCA 1,390424068.84,750,5,8,77,1,27.55
PROJ-KE-0166,Residential,Bungoma,NCA 5,124518709.79,677,4,5,45,1,13.24
PROJ-KE-0167,Infrastructure,Laikipia,NCA 3,51947641.65,1025,1,11,38,1,28.99
PROJ-KE-0168,Infrastructure,Laikipia,NCA 1,48667233.88,228,3,4,96,1,37.1
PROJ-KE-0169,Infrastructure,Nyeri,NCA 4,128818690.16,816,4,4,0,1,28.49
PROJ-KE-0170,Industrial,Machakos,NCA 5,24683092.12,610,0,6,0,0,0.14
PROJ-KE-0171,Residential,Kakamega,NCA 3,24855834.16,654,4,5,0,1,7.17
PROJ-KE-0172,Residential,Laikipia,NCA 3,141584105.17,165,2,5,0,0,0.0
PROJ-KE-0173,Commercial,Machakos,NCA 5,189546959.42,222,8,9,0,0,1.46
PROJ-KE-0174,Commercial,Machakos,NCA 1,237742039.82,1060,4,11,0,0,1.19
PROJ-KE-0175,Residential,Kiambu,NCA 4,594856515.84,719,1,11,0,1,10.09
PROJ-KE-0176,Infrastructure,Nyeri,NCA 5,1311609174.28,667,0,3,87,1,20.66
PROJ-KE-0177,Residential,Nairobi,NCA 3,42595559.03,732,4,11,0,0,2.26
PROJ-KE-0178,Infrastructure,Murang'a,NCA 2,158023694.53,540,7,9,0,0,0.75
PROJ-KE-0179,Industrial,Nyeri,NCA 4,190253271.02,971,6,8,52,1,18.18
PROJ-KE-0180,Commercial,Bungoma,NCA 1,102621863.61,189,2,3,0,0,0.02
PROJ-KE-0181,Civil Works,Machakos,NCA 5,625459317.98,284,5,15,0,0,0.0
PROJ-KE-0182,Commercial,Nairobi,NCA 1,95029762.55,492,7,11,0,0,2.57
PROJ-KE-0183,Commercial,Laikipia,NCA 3,290674817.67,382,0,11,0,0,0.0
PROJ-KE-0184,Infrastructure,Murang'a,NCA 2,307549863.94,500,1,3,41,1,34.33
PROJ-KE-0185,Commercial,Nakuru,NCA 1,204008048.53,189,5,9,0,0,4.21
PROJ-KE-0186,Infrastructure,Uasin Gishu,NCA 4,81813356.09,129,5,5,65,1,28.64
PROJ-KE-0187,Commercial,Kiambu,NCA 2,62974079.93,721,13,14,48,0,0.0
PROJ-KE-0188,Residential,Meru,NCA 3,101358271.74,107,5,8,0,0,0.95
PROJ-KE-0189,Infrastructure,Nairobi,NCA 3,91267007.64,1085,7,15,0,1,24.26
PROJ-KE-0190,Commercial,Murang'a,NCA 1,95233209.28,1060,1,14,61,0,0.87
PROJ-KE-0191,Infrastructure,Kericho,NCA 3,203942109.84,716,0,10,0,0,0.97
PROJ-KE-0192,Civil Works,Laikipia,NCA 3,81118197.12,1024,5,11,0,1,27.3
PROJ-KE-0193,Industrial,Kajiado,NCA 4,149139969.65,661,3,7,0,0,3.76
PROJ-KE-0194,Infrastructure,Laikipia,NCA 2,86077701.29,447,11,11,20,0,0.36
PROJ-KE-0195,Industrial,Murang'a,NCA 5,867314062.72,387,2,3,0,0,4.19
PROJ-KE-0196,Infrastructure,Laikipia,NCA 1,396383128.43,937,4,11,0,0,0.43
PROJ-KE-0197,Residential,Kilifi,NCA 1,53074664.84,743,0,6,47,0,1.06
PROJ-KE-0198,Infrastructure,Nairobi,NCA 7,63031482.13,1091,3,5,0,1,26.47
PROJ-KE-0199,Infrastructure,Meru,NCA 2,42736208.99,751,0,3,0,0,3.64
PROJ-KE-0200,Industrial,Mombasa,NCA 6,333763452.49,270,3,3,0,1,11.15
PROJ-KE-0201,Infrastructure,Meru,NCA 6,511081971.26,199,4,8,0,0,0.05
PROJ-KE-0202,Industrial,Kiambu,NCA 6,34803295.92,569,3,7,0,0,3.33
PROJ-KE-0203,Residential,Machakos,NCA 1,64218882.15,780,6,15,114,1,37.48
PROJ-KE-0204,Residential,Kericho,NCA 3,498178272.8,279,3,5,36,1,8.83
PROJ-KE-0205,Residential,Bungoma,NCA 5,287096365.19,830,0,12,51,1,32.96
PROJ-KE-0206,Commercial,Nakuru,NCA 3,288881327.07,1035,12,14,20,1,28.08
PROJ-KE-0207,Industrial,Kakamega,NCA 4,122529473.52,246,9,10,94,1,32.52
PROJ-KE-0208,Residential,Uasin Gishu,NCA 5,54592869.71,896,4,4,95,1,26.44
PROJ-KE-0209,Industrial,Nakuru,NCA 1,27764091.66,676,2,11,114,1,33.57
PROJ-KE-0210,Commercial,Uasin Gishu,NCA 4,8346486.72,546,1,15,0,0,0.0
PROJ-KE-0211,Commercial,Bungoma,NCA 4,96956638.86,405,0,14,109,1,18.31
PROJ-KE-0212,Residential,Kisumu,NCA 3,109994339.28,151,3,4,57,1,31.87
PROJ-KE-0213,Infrastructure,Kericho,NCA 2,194459742.85,1002,7,9,0,1,27.53
PROJ-KE-0214,Infrastructure,Kiambu,NCA 4,56857806.85,446,1,4,0,0,1.69
PROJ-KE-0215,Civil Works,Nairobi,NCA 5,407667121.96,826,6,11,0,0,1.7
PROJ-KE-0216,Commercial,Kajiado,NCA 1,48132514.95,986,12,14,108,1,46.7
PROJ-KE-0217,Industrial,Kilifi,NCA 1,26672417.28,193,0,12,91,1,38.54
PROJ-KE-0218,Residential,Kilifi,NCA 3,75309385.93,862,1,15,42,1,28.21
PROJ-KE-0219,Residential,Nyeri,NCA 1,1547958438.07,987,5,5,0,0,1.82
PROJ-KE-0220,Residential,Machakos,NCA 4,30717860.28,1085,6,8,0,1,15.52
PROJ-KE-0221,Residential,Kiambu,NCA 2,197613257.41,336,2,6,0,0,2.23
PROJ-KE-0222,Commercial,Kericho,NCA 7,310607554.33,660,2,11,37,1,39.13
PROJ-KE-0223,Infrastructure,Kisumu,NCA 3,567738499.06,939,0,6,91,1,16.5
PROJ-KE-0224,Infrastructure,Uasin Gishu,NCA 3,87847589.38,980,4,8,0,1,36.75
PROJ-KE-0225,Commercial,Laikipia,NCA 6,142031802.51,802,11,12,35,0,0.37
PROJ-KE-0226,Residential,Kakamega,NCA 2,22305736.41,567,3,4,0,0,0.77
PROJ-KE-0227,Commercial,Mombasa,NCA 3,224906184.47,316,2,14,75,1,26.28
PROJ-KE-0228,Commercial,Nyeri,NCA 1,57701440.5,673,3,6,0,0,0.73
PROJ-KE-0229,Infrastructure,Laikipia,NCA 7,45039958.72,262,12,14,22,0,0.88
PROJ-KE-0230,Industrial,Mombasa,NCA 3,27644702.42,949,0,4,0,0,2.71
PROJ-KE-0231,Commercial,Kiambu,NCA 1,33965922.05,722,10,13,0,0,3.08
PROJ-KE-0232,Commercial,Kericho,NCA 1,43240311.76,632,4,14,0,0,2.92
PROJ-KE-0233,Infrastructure,Kericho,NCA 5,175233364.88,188,2,11,84,1,30.77
PROJ-KE-0234,Infrastructure,Kajiado,NCA 5,1562973711.97,560,3,12,0,1,12.45
PROJ-KE-0235,Infrastructure,Kisumu,NCA 4,387003253.05,185,6,9,65,1,13.35
PROJ-KE-0236,Commercial,Machakos,NCA 1,286592055.43,429,1,12,0,0,2.15
PROJ-KE-0237,Industrial,Laikipia,NCA 2,71002896.84,1036,2,4,0,0,1.05
PROJ-KE-0238,Industrial,Nyeri,NCA 1,129357657.85,930,13,14,14,0,0.61
PROJ-KE-0239,Residential,Murang'a,NCA 4,472048117.81,643,6,8,0,1,28.9
PROJ-KE-0240,Residential,Kakamega,NCA 1,1713602379.94,537,6,6,82,1,26.29
PROJ-KE-0241,Infrastructure,Nairobi,NCA 4,5577682.66,892,7,10,75,1,34.93
PROJ-KE-0242,Infrastructure,Kisumu,NCA 5,68257175.54,392,7,15,0,0,1.63
PROJ-KE-0243,Infrastructure,Kiambu,NCA 4,85863807.36,95,7,7,39,1,12.27
PROJ-KE-0244,Commercial,Kericho,NCA 2,34042774.49,116,2,4,0,0,0.0
PROJ-KE-0245,Industrial,Nairobi,NCA 2,32522112.48,487,2,15,0,0,0.0
PROJ-KE-0246,Commercial,Machakos,NCA 4,171512940.49,364,2,10,60,1,20.11
PROJ-KE-0247,Commercial,Kisumu,NCA 2,655298137.97,597,9,12,18,0,1.32
PROJ-KE-0248,Residential,Murang'a,NCA 5,120261883.88,427,5,10,110,1,20.49
PROJ-KE-0249,Commercial,Uasin Gishu,NCA 3,8820476.25,271,5,9,93,1,40.11
PROJ-KE-0250,Commercial,Kajiado,NCA 5,10516197.09,492,1,8,0,1,10.94
PROJ-KE-0251,Infrastructure,Nairobi,NCA 7,2500000000.0,562,3,14,42,1,37.18
PROJ-KE-0252,Infrastructure,Laikipia,NCA 1,72831491.16,400,2,6,0,0,0.0
PROJ-KE-0253,Commercial,Laikipia,NCA 3,7590310.04,980,6,14,0,0,1.56
PROJ-KE-0254,Industrial,Kisumu,NCA 1,36182847.81,344,10,13,87,1,34.99
PROJ-KE-0255,Residential,Nyeri,NCA 7,39649717.24,530,0,4,33,0,1.08
PROJ-KE-0256,Residential,Kilifi,NCA 2,21855010.41,692,8,14,8,0,0.0
PROJ-KE-0257,Industrial,Kisumu,NCA 1,120661410.86,1053,2,14,48,0,1.48
PROJ-KE-0258,Residential,Laikipia,NCA 1,85963814.87,158,0,7,0,0,3.39
PROJ-KE-0259,Residential,Machakos,NCA 6,507244261.44,848,4,6,25,1,22.75
PROJ-KE-0260,Infrastructure,Machakos,NCA 1,326797800.31,763,6,9,83,1,27.48
PROJ-KE-0261,Commercial,Uasin Gishu,NCA 1,44952433.55,860,12,14,0,0,0.0
PROJ-KE-0262,Residential,Kakamega,NCA 2,43879678.55,973,8,10,0,0,0.62
PROJ-KE-0263,Residential,Nakuru,NCA 2,324313396.66,955,9,10,91,1,34.38
PROJ-KE-0264,Commercial,Kiambu,NCA 2,41036740.53,334,1,7,93,1,33.98
PROJ-KE-0265,Residential,Kericho,NCA 1,272575490.27,740,11,11,0,0,0.81
PROJ-KE-0266,Commercial,Meru,NCA 1,64441510.04,144,0,8,0,0,1.7
PROJ-KE-0267,Residential,Laikipia,NCA 2,329025896.46,593,7,9,0,0,1.39
PROJ-KE-0268,Infrastructure,Meru,NCA 1,126518901.66,889,9,10,0,0,1.39
PROJ-KE-0269,Commercial,Nakuru,NCA 2,23954766.44,646,8,8,0,0,1.82
PROJ-KE-0270,Residential,Kericho,NCA 1,284219726.81,394,3,3,115,1,43.45
PROJ-KE-0271,Residential,Nakuru,NCA 5,129523909.16,692,5,14,0,1,25.14
PROJ-KE-0272,Residential,Kiambu,NCA 5,251735520.08,673,8,8,73,0,3.25
PROJ-KE-0273,Commercial,Kajiado,NCA 7,1980195154.78,616,13,13,101,1,47.85
PROJ-KE-0274,Industrial,Kiambu,NCA 4,7869006.06,225,1,6,0,0,0.0
PROJ-KE-0275,Infrastructure,Laikipia,NCA 1,34752401.43,474,1,10,0,0,1.68
PROJ-KE-0276,Residential,Kajiado,NCA 4,75312341.85,988,7,8,0,0,1.29
PROJ-KE-0277,Infrastructure,Kisumu,NCA 4,19529131.88,456,4,4,59,1,38.12
PROJ-KE-0278,Residential,Nyeri,NCA 5,47408277.94,669,5,10,0,1,30.15
PROJ-KE-0279,Commercial,Bungoma,NCA 1,204418502.39,557,3,3,93,1,44.31
PROJ-KE-0280,Industrial,Meru,NCA 1,259904174.58,760,4,8,90,1,43.83
PROJ-KE-0281,Commercial,Murang'a,NCA 4,79989254.55,529,1,13,0,0,2.91
PROJ-KE-0282,Commercial,Kilifi,NCA 3,109268945.4,545,0,3,0,0,0.0
PROJ-KE-0283,Residential,Kiambu,NCA 3,115926986.92,915,0,4,117,1,26.58
PROJ-KE-0284,Residential,Kiambu,NCA 4,88660729.29,666,1,3,97,1,21.73
PROJ-KE-0285,Infrastructure,Kericho,NCA 4,49354914.21,1008,1,4,0,1,24.46
PROJ-KE-0286,Residential,Kericho,NCA 2,200599332.66,176,4,6,0,0,0.98
PROJ-KE-0287,Industrial,Nairobi,NCA 5,41173126.84,764,3,7,0,0,1.05
